Symbol,Name of company,Series,Date of listing,Face value
360ONE,360 ONE WAM LIMITED,EQ,19-SEP-2019,1
3IINFOLTD,3i Infotech Limited,EQ,22-OCT-2021,10
3MINDIA,3M India Limited,EQ,13-AUG-2004,10
5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017,10
AARTIDRUGS,Aarti Drugs Limited,EQ,19-SEP-2003,10
AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,5
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-JAN-2023,5
AARTISURF,Aarti Surfactants Limited,EQ,14-JUL-2020,10
AARVI,Aarvi Encon Limited,EQ,24-JUN-2020,10
AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018,10
ABB,ABB India Limited,EQ,08-FEB-1995,2
ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,10
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017,10
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021,5
ACC,ACC Limited,EQ,20-NOV-1996,10
ACCELYA,Accelya Solutions India Limited,EQ,01-DEC-1999,10
ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,2
ACI,Archean Chemical Industries Limited,EQ,21-NOV-2022,2
ACLGATI,Allcargo Gati Limited,EQ,10-OCT-2006,2
ADANIENSOL,Adani Energy Solutions Limited,EQ,31-JUL-2015,10
ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1
ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,10
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2
ADFFOODS,ADF Foods Limited,EQ,15-SEP-2010,2
ADORWELD,Ador Welding Limited,EQ,10-MAY-1995,10
ADSL,Allied Digital Services Limited,EQ,25-JUL-2007,5
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-JUN-2007,2
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016,2
AEGISLOG,Aegis Logistics Limited,EQ,03-APR-1996,1
AEROFLEX,Aeroflex Industries Limited,EQ,31-AUG-2023,2
AETHER,Aether Industries Limited,EQ,03-JUN-2022,10
AFFLE,Affle (India) Limited,EQ,08-AUG-2019,2
AGARIND,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014,10
AGI,AGI Greenpac Limited,EQ,31-MAY-2000,2
AGROPHOS,Agro Phos India Limited,EQ,08-MAR-2019,10
AHL,Abans Holdings Limited,EQ,23-DEC-2022,2
AHLEAST,Asian Hotels (East) Limited,EQ,11-AUG-2010,10
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009,2
AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,2
AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,2
AJMERA,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009,10
AKG,Akg Exim Limited,EQ,16-FEB-2021,10
AKZOINDIA,Akzo Nobel India Limited,EQ,28-JUN-2001,10
ALBERTDAVD,Albert David Limited,BE,14-JUN-2016,10
ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2
ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,5
ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,10
ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,2
ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2
ALLSEC,Allsec Technologies Limited,EQ,09-MAY-2005,10
ALPA,Alpa Laboratories Limited,EQ,06-AUG-2007,10
AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018,10
AMBIKCO,Ambika Cotton Mills Limited,EQ,29-JAN-2008,10
AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,2
AMIORG,Ami Organics Limited,EQ,14-SEP-2021,10
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-JAN-2015,1
ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-DEC-2021,5
ANANTRAJ,Anant Raj Limited,EQ,27-SEP-2006,2
ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-MAY-2004,10
ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-NOV-1995,2
ANGELONE,Angel One Limited,EQ,05-OCT-2020,10
ANUP,The Anup Engineering Limited,EQ,01-MAR-2019,10
ANURAS,Anupam Rasayan India Limited,EQ,24-MAR-2021,10
APARINDS,Apar Industries Limited,EQ,12-JUL-2004,10
APCL,Anjani Portland Cement Limited,EQ,10-APR-2017,10
APCOTEXIND,Apcotex Industries Limited,EQ,06-SEP-1995,2
APEX,Apex Frozen Foods Limited,EQ,04-SEP-2017,10
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-DEC-2011,2
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-SEP-2011,2
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,5
APOLLOPIPE,Apollo Pipes Limited,EQ,11-NOV-2019,10
APOLLOTYRE,Apollo Tyres Limited,EQ,31-MAY-1995,1
APTECHT,Aptech Limited,EQ,27-SEP-2002,10
APTUS,Aptus Value Housing Finance India Limited,EQ,24-AUG-2021,2
ARIES,Aries Agro Limited,EQ,11-JAN-2008,10
ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-JUN-2021,1
ARIHANTSUP,Arihant Superstructures Limited,EQ,28-MAR-2017,10
ARMANFIN,Arman Financial Services Limited,EQ,14-JUN-2016,10
ARTEMISMED,Artemis Medicare Services Limited,EQ,23-JAN-2020,1
ARVIND,Arvind Limited,EQ,08-FEB-1995,10
ARVINDFASN,Arvind Fashions Limited,EQ,08-MAR-2019,4
ARVSMART,Arvind SmartSpaces Limited,EQ,26-AUG-2015,10
ASAHIINDIA,Asahi India Glass Limited,EQ,18-MAR-1998,1
ASAHISONG,Asahi Songwon Colors Limited,BE,29-AUG-2011,10
ASAL,Automotive Stampings and Assemblies Limited,EQ,12-MAR-2002,10
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-FEB-2020,10
ASHIANA,Ashiana Housing Limited,EQ,29-JUN-2011,2
ASHOKA,Ashoka Buildcon Limited,EQ,14-OCT-2010,5
ASHOKLEY,Ashok Leyland Limited,EQ,25-MAY-1995,1
ASIANENE,Asian Energy Services Limited,EQ,09-DEC-2021,10
ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995,1
ASIANTILES,Asian Granito India Limited,EQ,23-AUG-2007,10
ASPINWALL,Aspinwall and Company Limited,EQ,14-JUN-2016,10
ASTEC,Astec LifeSciences Limited,EQ,25-NOV-2009,10
ASTERDM,Aster DM Healthcare Limited,EQ,26-FEB-2018,10
ASTRAL,Astral Limited,EQ,20-MAR-2007,1
ASTRAMICRO,Astra Microwave Products Limited,EQ,01-NOV-2004,2
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-MAY-2001,2
ATFL,Agro Tech Foods Limited,EQ,06-DEC-2002,10
ATGL,Adani Total Gas Limited,EQ,05-NOV-2018,1
ATL,Allcargo Terminals Limited,EQ,10-AUG-2023,2
ATUL,Atul Limited,EQ,06-MAY-1998,10
AUBANK,AU Small Finance Bank Limited,EQ,10-JUL-2017,10
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-JUL-2000,1
AUTOAXLES,Automotive Axles Limited,EQ,29-MAY-2003,10
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-JUL-2017,10
AVALON,Avalon Technologies Limited,EQ,18-APR-2023,2
AVANTIFEED,Avanti Feeds Limited,EQ,15-APR-2015,1
AVG,AVG Logistics Limited,EQ,12-MAY-2023,10
AVROIND,AVRO INDIA LIMITED,BE,07-APR-2022,10
AVTNPL,AVT Natural Products Limited,EQ,10-JAN-2007,1
AWHCL,Antony Waste Handling Cell Limited,EQ,01-JAN-2021,5
AWL,Adani Wilmar Limited,EQ,08-FEB-2022,1
AXISBANK,Axis Bank Limited,EQ,16-NOV-1998,2
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-MAY-2008,10
BAJAJCON,Bajaj Consumer Care Limited,EQ,18-AUG-2010,1
BAJAJELEC,Bajaj Electricals Limited,EQ,02-NOV-2007,2
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-MAY-2008,1
BAJAJHCARE,Bajaj Healthcare Limited,EQ,25-NOV-2021,5
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-MAY-1995,1
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-MAR-1995,10
BAJFINANCE,Bajaj Finance Limited,EQ,01-APR-2003,2
BALAMINES,Balaji Amines Limited,EQ,05-APR-2007,2
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,30-NOV-2015,2
BALKRISIND,Balkrishna Industries Limited,EQ,27-JAN-2006,2
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-JUL-1995,10
BALPHARMA,Bal Pharma Limited,BE,08-MAY-2006,10
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-FEB-1995,1
BANARBEADS,Banaras Beads Limited,EQ,07-JUL-1995,10
BANARISUG,Bannari Amman Sugars Limited,EQ,28-MAY-2003,10
BANCOINDIA,Banco Products (I) Limited,EQ,22-DEC-2006,2
BANDHANBNK,Bandhan Bank Limited,EQ,27-MAR-2018,10
BANKBARODA,Bank of Baroda,EQ,19-FEB-1997,2
BANKINDIA,Bank of India,EQ,30-APR-1997,10
BANSWRAS,Banswara Syntex Limited,EQ,11-APR-2007,5
BARBEQUE,Barbeque Nation Hospitality Limited,EQ,07-APR-2021,5
BASF,BASF India Limited,EQ,17-MAY-1995,10
BASML,Bannari Amman Spinning Mills Limited,EQ,14-NOV-2005,5
BATAINDIA,Bata India Limited,EQ,18-JUN-2003,5
BAYERCROP,Bayer Cropscience Limited,EQ,08-JAN-2010,10
BBL,Bharat Bijlee Limited,EQ,21-NOV-2006,5
BBTC,Bombay Burmah Trading Corporation Limited,EQ,03-APR-1996,2
BBTCL,B&B Triplewall Containers Limited,EQ,23-NOV-2022,10
BCLIND,Bcl Industries Limited,EQ,04-MAR-2021,1
BDL,Bharat Dynamics Limited,EQ,23-MAR-2018,5
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,24-DEC-2020,10
BEL,Bharat Electronics Limited,EQ,19-JUL-2000,1
BEML,BEML Limited,EQ,05-NOV-2003,10
BEPL,Bhansali Engineering Polymers Limited,EQ,21-MAR-2005,1
BERGEPAINT,Berger Paints (I) Limited,EQ,24-NOV-1999,1
BFINVEST,BF Investment Limited,EQ,14-JAN-2011,5
BFUTILITIE,BF Utilities Limited,EQ,03-MAY-2007,5
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,18-OCT-2021,1
BHAGERIA,Bhageria Industries Limited,EQ,02-MAR-2016,5
BHARATFORG,Bharat Forge Limited,EQ,04-APR-2003,2
BHARATGEAR,Bharat Gears Limited,EQ,03-APR-1996,10
BHARATRAS,Bharat Rasayan Limited,EQ,11-OCT-1995,10
BHARTIARTL,Bharti Airtel Limited,EQ,15-FEB-2002,5
BHEL,Bharat Heavy Electricals Limited,EQ,11-NOV-2003,2
BIGBLOC,Bigbloc Construction Limited,EQ,02-SEP-2016,2
BIKAJI,Bikaji Foods International Limited,EQ,16-NOV-2022,1
BIOCON,Biocon Limited,EQ,07-APR-2004,5
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,12-JUN-1996,10
BIRLACABLE,Birla Cable Limited,EQ,06-DEC-1995,10
BIRLACORPN,Birla Corporation Limited,EQ,12-APR-1995,10
BLAL,BEML Land Assets Limited,EQ,19-APR-2023,10
BLISSGVS,Bliss GVS Pharma Limited,EQ,26-JUL-2010,1
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-MAR-2006,1
