Symbol,Series,CompanyName,Macro_Economic_Sector,Sector,Ind_Code,Industry,Basic_Ind_Code,Basic_Industry,yearly_return
INDOBORAX,EQ,Indo Borax & Chemicals Limited,Commodities,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,0.721745311
JOCIL,EQ,Jocil Limited,Commodities,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,0.823426233
LORDSCHLO,EQ,Lords Chloro Alkali Limited,Commodities,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,6.06487302
CHEMFAB,EQ,Chemfab Alkalis Limited,Commodities,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,-0.718106897
ANDHRSUGAR,EQ,The Andhra Sugars Limited,Commodities,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,-2.138124875
INDIAGLYCO,EQ,India Glycols Limited,Commodities,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,1.273615761
CHEMPLASTS,EQ,Chemplast Sanmar Limited,Commodities,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,-0.828260653
DEEPAKFERT,EQ,Deepak Fertilizers and Petrochemicals Corporation Limited,Commodities,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,-1.231324906
GHCL,EQ,GHCL Limited,Commodities,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,1.464784964
OCCL,EQ,Oriental Carbon & Chemicals Limited,Commodities,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,3.882347792
TIRUMALCHM,EQ,Thirumalai Chemicals Limited,Commodities,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,0.346072826
AMNPLST,EQ,Amines & Plasticizers Limited,Commodities,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,-5.57907469
GNFC,EQ,Gujarat Narmada Valley Fertilizers and Chemicals Limited,Commodities,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,-1.279707495
KANORICHEM,EQ,Kanoria Chemicals & Industries Limited,Commodities,Chemicals,IN010101,Chemicals & Petrochemicals,IN010101001,Commodity Chemicals,0.977847006
