,Symbol,trailingPE,bookValue,trailingEps
0,360ONE,43.875153,107.158,24.67
1,3IINFOLTD,,16.263,-809.32
2,3MINDIA,57.660004,1905.806,532.18
3,5PAISA,24.45946,184.582,19.24
4,AARTIDRUGS,27.145016,139.958,16.55
5,AARTIIND,35.028454,150.729,12.3
6,AARTIPHARM,25.959476,204.972,25.17
7,AARTISURF,35.52371,257.303,18.14
8,AARVI,18.62343,78.771,7.17
9,AAVAS,24.333483,511.572,67.29
10,ABB,86.54613,299.284,79.78
11,ABBOTINDIA,45.841465,1657.016,604.66
12,ABCAPITAL,13.049685,110.094,14.29
13,ABFRL,,39.939,-6.6
14,ABSLAMC,27.207354,113.517,31.01
15,ACC,19.26609,883.967,108.46
16,ACCELYA,22.947104,189.504,63.52
17,ACE,39.92017,116.327,30.69
18,ACI,38.10818,143.034,17.84
19,ACLGATI,66.84672,79.943,1.37
20,ADANIENSOL,132.98155,174.69,4.88
21,ADANIENT,47.90368,334.151,46.51
22,ADANIGREEN,166.95238,59.777,6.3
23,ADANIPORTS,23.94166,264.719,47.48
24,ADFFOODS,42.052708,42.148,7.21
25,ADORWELD,33.105625,266.486,34.84
26,ADSL,32.383354,93.447,7.93
27,ADVANIHOTR,25.617762,7.777,2.59
28,ADVENZYMES,29.930557,120.137,12.24
29,AEGISLOG,48.088943,117.472,16.64
30,AEROFLEX,50.136875,24.523,3.58
31,AETHER,132.50815,160.953,6.14
32,AFFLE,64.33266,192.201,24.65
33,AGARIND,12.218237,341.64,82.25
34,AGI,21.97793,295.372,41.23
35,AGROPHOS,,23.803,-2.59
36,AHL,19.64712,185.624,19.27
37,AHLEAST,11.391368,134.932,13.67
38,AHLUCONT,18.312931,238.842,50.65
39,AIAENG,30.463425,680.297,112.1
40,AJANTPHARM,42.58452,293.334,69.51
41,AJMERA,26.345495,253.97,35.08
42,AKG,42.7381,15.565,0.42
43,AKZOINDIA,38.104713,312.955,95.5
44,ALBERTDAVD,8.903662,671.053,142.52
45,ALEMBICLTD,10.265509,85.114,12.09
46,ALICON,24.807478,344.592,44.93
47,ALKALI,,50.425,-4.23
48,ALKEM,31.425396,862.465,177.67
49,ALKYLAMINE,58.213745,256.532,32.89
50,ALLCARGO,119.409096,25.658,0.44
51,ALLSEC,20.620007,161.081,52.58
52,ALPA,12.704128,73.11,8.72
53,AMBER,117.960335,624.911,54.96
54,AMBIKCO,12.654551,1562.428,113.07
55,AMBUJACEM,38.098324,204.393,13.12
56,AMIORG,89.33662,302.037,23.29
57,AMRUTANJAN,42.566906,99.786,16.44
58,ANANDRATHI,62.806282,133.256,63.34
59,ANANTRAJ,64.93762,112.013,10.42
60,ANDHRAPAP,9.768828,97.752,9.56
61,ANDHRSUGAR,23.908188,116.786,4.03
62,ANGELONE,18.182188,585.684,148.2
63,ANUP,100.44604,274.12,34.19
64,ANURAS,114.92163,251.492,6.38
65,APARINDS,43.554413,1022.628,213.65
66,APCL,,100.236,-15.19
67,APCOTEXIND,38.594837,104.746,10.07
68,APEX,51.5339,159.058,4.72
69,APLAPOLLO,67.43937,138.757,21.03
70,APLLTD,31.667171,248.211,32.9
71,APOLLOHOSP,84.307076,499.315,82.26
72,APOLLOPIPE,62.3248,164.209,7.42
73,APOLLOTYRE,21.70101,218.897,22.81
74,APTECHT,47.473988,44.83,3.46
75,APTUS,23.432392,80.516,13.46
76,ARIES,14.469696,200.199,21.78
77,ARIHANTCAP,12.735897,35.612,7.8
78,ARIHANTSUP,24.109118,48.496,14.48
79,ARMANFIN,8.617287,775.702,144.39
80,ARTEMISMED,136.26637,33.001,2.29
81,ARVIND,32.902348,134.047,11.06
82,ARVINDFASN,106.233765,76.655,5.39
83,ARVSMART,63.919468,115.814,14.9
84,ASAHIINDIA,50.53208,101.919,12.78
85,ASAHISONG,43.85863,207.31,8.63
86,ASAL,48.56485,0.305,13.03
87,ASALCBR,29.037374,250.895,31.84
88,ASHIANA,97.91936,76.618,3.1
89,ASHIMASYN,5.9555125,15.924,5.17
90,ASHOKA,6.811249,79.09,33.96
91,ASHOKLEY,25.079508,35.071,8.93
92,ASIANENE,33.1963,68.354,9.73
93,ASIANPAINT,51.947887,188.116,47.59
94,ASIANTILES,,98.063,-0.63
95,ASPINWALL,16.387196,237.403,16.4
96,ASTEC,,148.625,-52.85
97,ASTERDM,105.18247,68.823,4.11
98,ASTRAL,90.15353,125.542,19.54
99,ASTRAMICRO,54.178726,101.763,13.82
100,ASTRAZEN,192.7371,284.768,32.79
101,ATFL,493.2857,196.824,1.75
102,ATGL,95.470215,35.61,6.38
103,ATL,21.525139,10.616,1.79
104,ATUL,56.65159,1905.059,128.18
105,AUBANK,23.324198,215.676,25.54
106,AUROPHARMA,19.982037,528.882,61.24
107,AUTOAXLES,17.249285,593.322,101.41
108,AVADHSUGAR,13.129479,525.644,43.25
109,AVALON,200.19858,85.267,4.28
110,AVANTIFEED,19.394335,173.619,30.71
111,AVG,12.828186,146.372,31.08
112,AVROIND,44.71304,28.613,3.45
113,AVTNPL,26.023333,30.832,3
114,AWHCL,24.85575,202.303,24.61
115,AWL,38.721855,68.72,7.55
116,AXISBANK,12.725856,557.714,89.77
117,AYMSYNTEX,50.364754,85.204,4.88
118,BAJAJ-AUTO,36.142605,1111.31,262.34
119,BAJAJCON,20.448242,49.392,9.95
120,BAJAJELEC,80.283424,127.005,9.35
121,BAJAJFINSV,30.273258,428.879,52.88
122,BAJAJHCARE,,100.835,-4.84
123,BAJAJHIND,,35.056,-0.15
124,BAJAJHLDNG,15.70551,5376.945,665.9
125,BAJFINANCE,26.921017,1403.263,248.28
126,BALAJITELE,74.77381,42.466,0.84
127,BALAMINES,31.860054,531.421,62.31
128,BALAXI,8.793416,39.51,8.81
129,BALKRISIND,32.79569,486.271,84.38
130,BALMLAWRIE,13.690827,104.439,15.59
131,BALPHARMA,26.998032,43.845,5.08
132,BALRAMCHIN,24.12728,175.954,21.37
133,BANARBEADS,30.850525,84.487,4.75
134,BANARISUG,32.731335,1346.445,104.07
135,BANCOINDIA,23.45347,147.025,48.14
136,BANDHANBNK,12.287057,147.23,13.83
137,BANKBARODA,6.0997677,261.508,38.69
138,BANKINDIA,5.89251,162.225,17.49
139,BANSWRAS,19.49403,157.571,6.7
140,BARBEQUE,,100.581,-2.26
141,BASF,37.483356,744.704,150.18
142,BASML,,61.586,-3.48
143,BATAINDIA,48.130543,114.198,27.04
144,BAYERCROP,44.45258,634.016,129.06
145,BBL,76.12781,1955.411,48.9
146,BBTC,14.396879,670.203,171.11
147,BBTCL,44.946392,58.327,4.85
148,BCLIND,14.1866665,47.897,3.75
149,BDL,138.1684,99.214,6.77
150,BECTORFOOD,70.37857,187.928,24.17
151,BEL,45.29839,24.249,6.2
152,BEML,55.711884,640.654,68.48
153,BEPL,16.687328,39.034,7.26
154,BERGEPAINT,48.497963,47.895,9.82
155,BFINVEST,5.17017,2118.547,139.86
156,BFUTILITIE,24.402298,-5.038,39.15
157,BHAGCHEM,963.5294,39.759,0.34
158,BHAGERIA,31.463608,121.472,6.32
159,BHARATFORG,64.675674,154.003,20.35
160,BHARATGEAR,33.142857,72.028,2.94
161,BHARATRAS,31.041677,2377.426,379.1
162,BHARTIARTL,75.66538,150.527,20.74
163,BHEL,183.11719,68.391,1.28
164,BIGBLOC,62.017967,7.348,1.67
165,BIKAJI,63.406734,52.886,11.58
166,BIOCON,27.579035,170.57,12.02
167,BIOFILCHEM,151.79488,11.185,0.39
168,BIRLACABLE,83.9102,87.914,2.45
169,BIRLACORPN,27.341114,900.298,40.28
170,BLAL,,0.462,-0.99
171,BLISSGVS,22.072147,96.164,5.96
172,BLKASHYAP,26.760298,23.53,2.67
173,BLS,37.821148,29.359,10.12
174,BLUEDART,62.781452,600.637,119.47
175,BLUESTARCO,71.515564,132.696,25.7
176,BODALCHEM,547.6923,86.036,0.13
177,BOMDYEING,1.2009716,90.708,170.87
178,BOROLTD,69.03624,50.619,6.07
179,BORORENEW,,65.539,-6.62
180,BOSCHLTD,48.60499,4317.642,706.05
181,BPCL,9.301986,180.583,30.73
182,BRIGADE,58.520336,157.908,20.41
183,BRITANNIA,54.858,133.257,88.38
184,BSE,78.53495,310.01,60.1
185,BSOFT,25.555052,117.003,21.98
186,BUTTERFLY,,163.42,-3.77
187,CAMLINFINE,,51.638,-13.36
188,CAMPUS,82.21698,22.778,3.18
189,CAMS,51.93592,209.281,85.67
190,CANBK,5.4994335,113.095,17.64
191,CANFINHOME,13.677378,353.024,61.62
192,CANTABIL,31.15689,39.032,7.33
193,CAPACITE,16.25507,179.301,22.19
194,CAPLIPOINT,30.351624,324.909,64.7
195,CAPTRUST,83.75194,47.295,1.29
196,CARBORUNIV,56.668003,175.304,24.94
197,CARERATING,36.283062,251.989,38.19
198,CARTRADE,70.8209,450.493,18.09
199,CARYSIL,32.47064,174.284,22.99
200,CASTROLIND,21.856985,21.593,9.09
201,CCL,36.05404,135.667,20.54
202,CDSL,60.44937,73.158,25.48
203,CEATLTD,20.338552,1038.392,139.86
204,CENTENKA,19.138304,639.328,32.32
205,CENTRALBK,13.312977,38.436,3.93
206,CENTRUM,,8.439,-3.4
207,CENTURYPLY,70.418365,99.548,9.8
208,CENTURYTEX,116.133934,356.198,23.37
209,CERA,37.722984,1034.753,185.55
210,CESC,16.242254,86.345,10.65
211,CGCL,48.64175,48.82,3.88
212,CGPOWER,125.222984,23.079,5.83
213,CHALET,217.5969,90.101,3.87
214,CHAMBLFERT,12.172089,204.806,38.12
215,CHEMBOND,17.982737,282.217,31.28
216,CHEMCON,43.996155,133.402,5.2
217,CHEMFAB,103.78499,267.527,8.93
218,CHEMPLASTS,,108.468,-8.1
219,CHENNPETRO,12.12578,518.341,48.1
220,CHEVIOT,9.438549,1040.049,131
221,CHOICEIN,101.85606,44.626,5.28
222,CHOLAFIN,26.390041,254.86,45.79
223,CHOLAHLDNG,13.8309555,545.418,109.32
224,CIEINDIA,21.064814,163.45,21.6
225,CIGNITITEC,29.818703,296.914,50.47
226,CIPLA,26.832129,351.204,55.4
227,CLEAN,53.557297,122.123,24.26
228,CLEDUCATE,41.259396,83.108,2.66
229,CLSEL,14.75788,135.83,21.89
230,CMSINFO,21.982046,129.016,21.72
231,COALINDIA,7.0717335,156.171,58.55
232,COASTCORP,1715.2856,195.851,0.14
233,COCHINSHIP,39.4924,200.5,32.9
234,COFFEEDAY,,135.219,-16.78
235,COFORGE,66.29647,896.479,125.61
236,COLPAL,81.70413,60.748,33.36
237,CONCOR,37.64804,199.835,20.94
238,CONCORDBIO,64.59693,151.993,31.26
239,CONFIPET,25.319548,37.216,2.66
240,CONTROLPR,21.761665,222.049,31.93
241,COROMANDEL,38.99935,345.157,46.32
242,COSMOFIRST,18.924936,513.342,39.3
243,CRAFTSMAN,45.45582,1229.421,114.63
244,CREATIVE,25.416426,143.142,34.7
245,CREDITACC,10.690876,438.325,83.3
246,CREST,14.413183,391.754,31.1
247,CRISIL,59.8211,307.328,91.67
248,CROMPTON,50.45571,46.643,7.79
249,CSBBANK,9.6297455,238.733,31.87
250,CSLFINANCE,10.274618,211.635,30.77
251,CUB,12.107119,119.89,14.19
252,CUMMINSIND,47.257973,251.318,70.24
253,CYIENT,30.25852,467.257,59.57
254,CYIENTDLM,72.621254,118.281,8.66
255,DABUR,50.994034,58.517,10.06
256,DALBHARAT,44.374233,933.024,40.75
257,DALMIASUG,11.641835,375.174,34.23
258,DAMODARIND,,59.749,-6.65
259,DATAMATICS,17.14732,218.797,30.41
260,DATAPATTNS,68.95198,236.534,33.11
261,DBL,13.552467,356.586,32.02
262,DBOL,77.082275,146.374,1.58
263,DBREALTY,32.813526,93.25,4.88
264,DCAL,,365.807,-11.1
265,DCBBANK,6.4675183,170.719,18.01
266,DCMSHRIRAM,37.352154,426.503,33.48
267,DCMSRIND,12.868853,99.872,14.03
268,DCW,335.10345,34.955,0.29
269,DECCANCE,22.196735,513.279,25.72
270,DEEPAKFERT,23.749535,449.624,53.74
271,DEEPAKNTR,42.665337,373.127,62.6
272,DEEPINDS,23.268698,234.898,21.66
273,DELHIVERY,4940.7144,124.115,0.07
274,DELTACORP,19.28055,95.303,5.81
275,DEN,9.19149,73.641,4.7
276,DENORA,34.26539,234.98,34.44
277,DEVYANI,621.5926,9.674,0.27
278,DHAMPURSUG,15.733333,168.278,10.8
279,DHANUKA,24.912445,279.508,59.39
280,DHARMAJ,23.964077,106.33,11.97
281,DHUNINV,20.05412,4196.173,118.26
282,DIAMONDYD,63.5679,312.06,16.2
283,DICIND,120.2724,431.774,5.69
284,DISHTV,,-14.97,-20.58
285,DIVGIITTS,55.76557,189.76,11.56
286,DIVISLAB,86.51882,516.405,69.33
287,DIXON,124.826775,393.424,122.96
