Date,Scrip,Remaining Qty,Deployed Amount,Market Value,Unrealized % Return,Unrealized PNL,Realized PNL,Brokerage Amount,Turn Over Amount
2022-05-31,CENTURY ENKA LTD,65,31293.5,32204.25,2.91 %,910.75,-5.749999999999886,599.6500000000001,43918.0
2022-05-31,PENNAR INDUSTRIES LTD,200,7507.05,7330.0,-2.36 %,-177.05,0.0,100.0,7507.049999999999
2022-05-31,STEEL AUTHORITY OF INDIA,400,31900.0,30380.0,-4.76 %,-1520.0,0.0,239.26000000000002,31900.0
2022-06-30,CENTURY ENKA LTD,70,33502.0,29358.0,-12.37 %,-4144.0,85.25000000000034,799.6500000000001,51015.5
2022-06-30,FINOLEX CABLES LTD,25,9352.25,9407.5,0.59 %,55.25,0.0,187.45000000000002,9352.25
2022-06-30,PENNAR INDUSTRIES LTD,400,14507.05,14519.999999999998,0.09 %,12.95,0.0,152.5,14507.05
2022-06-30,STEEL AUTHORITY OF INDIA,500,39485.0,34275.0,-13.19 %,-5210.0,0.0,296.15000000000003,39485.0
2022-07-31,CENTURY ENKA LTD,85,39796.8,37582.75,-5.56 %,-2214.05,85.25000000000034,899.6500000000001,57310.299999999996
2022-07-31,FINOLEX CABLES LTD,15,6127.5,6368.25,3.93 %,240.75,858.0999999999999,314.02000000000004,15479.75
2022-07-31,GRANULES INDIA LIMITED,15,4532.25,4494.75,-0.83 %,-37.5,0.0,50.0,4532.25
2022-07-31,PENNAR INDUSTRIES LTD,0,0.0,0.0,-0.83 %,0.0,492.9499999999997,265.0,14507.05
2022-07-31,STEEL AUTHORITY OF INDIA,600,46695.0,46290.0,-0.87 %,-405.0,0.0,350.23,46695.0
2022-08-31,CENTURY ENKA LTD,90,42027.8,41575.5,-1.08 %,-452.3,85.25000000000034,949.6500000000001,59541.299999999996
2022-08-31,FINOLEX CABLES LTD,30,13368.0,13830.0,3.46 %,462.0,1317.85,464.28000000000003,28847.75
2022-08-31,GRANULES INDIA LIMITED,0,0.0,0.0,3.46 %,0.0,183.75,100.0,4532.25
2022-08-31,KIRLOSKAR BROTHERS LTD,50,16375.0,16637.5,1.6 %,262.5,0.0,122.81,16375.0
2022-08-31,LT FOODS LIMITED,50,4665.0,4757.5,1.98 %,92.5,1687.4999999999986,343.6,23347.5
2022-08-31,PENNAR INDUSTRIES LTD,0,0.0,0.0,1.98 %,0.0,492.9499999999997,265.0,14507.05
2022-08-31,STEEL AUTHORITY OF INDIA,250,19625.0,20325.0,3.57 %,700.0,2994.9999999999973,948.8800000000001,70157.5
2022-09-30,CENTURY ENKA LTD,200,86700.0,94870.0,9.42 %,8170.0,15354.599999999991,5278.720000000006,362846.85000000003
2022-09-30,FINOLEX CABLES LTD,0,0.0,0.0,9.42 %,0.0,1914.8499999999992,569.02,28847.75
2022-09-30,GRANULES INDIA LIMITED,0,0.0,0.0,9.42 %,0.0,183.75,100.0,4532.25
2022-09-30,KIRLOSKAR BROTHERS LTD,100,34000.0,34330.0,0.97 %,330.0,7259.149999999998,4978.699999999997,343674.10000000003
2022-09-30,LT FOODS LIMITED,0,0.0,0.0,0.97 %,0.0,2029.999999999999,393.6,23347.5
2022-09-30,PENNAR INDUSTRIES LTD,0,0.0,0.0,0.97 %,0.0,492.9499999999997,265.0,14507.05
2022-09-30,STEEL AUTHORITY OF INDIA,1150,92337.5,88262.5,-4.41 %,-4075.0,2994.9999999999973,1494.22,142870.0
2022-10-31,CENTURY ENKA LTD,0,-0.0,0.0,-100.0 %,0.0,20429.34999999999,5967.030000000006,362846.85000000003
2022-10-31,FINOLEX CABLES LTD,0,0.0,0.0,-100.0 %,0.0,1914.8499999999992,569.02,28847.75
2022-10-31,GRANULES INDIA LIMITED,0,0.0,0.0,-100.0 %,0.0,183.75,100.0,4532.25
2022-10-31,KIRLOSKAR BROTHERS LTD,500,177500.0,175525.0,-1.11 %,-1975.0,16755.6,9157.369999999997,689253.95
2022-10-31,LT FOODS LIMITED,0,0.0,0.0,-1.11 %,0.0,2029.999999999999,393.6,23347.5
2022-10-31,NMDC LTD.,1000,132985.0,99750.0,-24.99 %,-33235.0,0.0,997.3799999999999,132985.0
2022-10-31,PENNAR INDUSTRIES LTD,0,0.0,0.0,-24.99 %,0.0,3742.95,937.38,57707.05
2022-10-31,STEEL AUTHORITY OF INDIA,2150,169987.5,169205.0,-0.46 %,-782.5,2994.9999999999973,2076.6,220520.0
2022-11-30,BIRLASOFT LIMITED,150,44512.5,45787.5,2.86 %,1275.0,0.0,333.84000000000003,44512.5
2022-11-30,CENTURY ENKA LTD,350,145820.2,148295.0,1.7 %,2474.8,20429.34999999999,7060.6500000000015,508667.05000000005
2022-11-30,FINOLEX CABLES LTD,0,0.0,0.0,1.7 %,0.0,1914.8499999999992,569.02,28847.75
2022-11-30,GRANULES INDIA LIMITED,0,0.0,0.0,1.7 %,0.0,183.75,100.0,4532.25
