CompanyName,PrevSymbol,NewSymbol,Date
 NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF  Sr. x Plan E -  GO,RDAXEDG,NDAXEDG,30-10-2019
 NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF  Sr. x Plan E - DPO,RDAXEDD,NDAXEDD,30-10-2019
 NIPPON INDIA MF - NIPPON INDIA Dual Advantage FTF  Sr. x Plan E-DPGO,RDAXEDDG,NDAXEDDG,30-10-2019
 NIPPON INDIA MF-NIPPON INDIA Dual Advantage FTF Sr.x Plan E- DP- DPO,RDAXEDDD,NDAXEDDD,30-10-2019
360 ONE WAM LIMITED,IIFLWAM,360ONE,23-01-2023
3M India Limited,BIRLA3M,3MINDIA,15-06-2004
3P Land Holdings Limited,PDUMJEAGRO,PDUMJEIND,28-03-2008
3P Land Holdings Limited,PDUMJEIND,3PLAND,04-05-2018
63 moons technologies limited,FINANTECH,63MOONS,19-01-2017
A2Z Infra Engineering Limited,A2ZMES,A2ZINFRA,31-12-2014
AJR INFRA AND TOLLING LIMITED,GAMMNINFRA,AJRINFRA,16-08-2021
AMBANI ORGOCHEM LIMITED,AMBANIORG,AMBANIORGO,01-08-2024
AMD Industries Limited,AMDMET,AMDIND,25-02-2008
ANDHRA PAPER LIMITED,IPAPPM,ANDPAPER,22-01-2020
ANDHRA PAPER LIMITED,APPAPER,IPAPPM,21-01-2014
ANDHRA PAPER LIMITED,ANDPAPER,ANDHRAPAP,05-03-2020
ANG Industries Limited,ANGAUTO,ANGIND,16-06-2010
ARVIND PORT AND INFRA LIMITED,ACSAL,ARVINDPORT,09-12-2024
ATLANTAA LIMITED,ATLANTA,ATLANTAA,15-12-2023
ATN International Limited,ARIHANTCRE,ATNINT,17-09-2003
AVRO INDIA LIMITED,AVONMPL,AVROIND,01-11-2019
AXISCADES Technologies Limited,IT&T,AXIS-IT&T,16-08-2005
AXISCADES Technologies Limited,AXIS-IT&T,AXISCADES,08-10-2014
AYM Syntex Limited,WELSYNTEX,AYMSYNTEX,03-02-2016
Aban Offshore Limited,ABANLOYD,ABAN,18-08-2006
Aban Offshore Limited,ABANLLOYD,ABANLOYD,17-01-2005
Abhishek Corporation Limited,AML,ABHISHEK,26-06-2008
Accelya Solutions India Limited,KALECONSUL,ACCELYA,06-09-2012
Adani Energy Solutions Limited,ADANITRANS,ADANIENSOL,24-08-2023
Adani Enterprises Limited,ADANIEXPO,ADANIENT,20-09-2006
Adani Ports and Special Economic Zone Limited,MUNDRAPORT,ADANIPORTS,17-01-2012
Adani Total Gas Limited,ADANIGAS,ATGL,13-01-2021
Aditya Birla Chemicals (India) Limited,BCCL,ABCIL,09-03-2009
Aditya Birla Chemicals (India) Limited,BIHARCAUST,BCCL,05-12-2005
Aditya Birla Fashion and Retail Limited,PFRL,ABFRL,29-01-2016
Aditya Birla Money Limited,APOLLOSIND,BIRLAMONEY,09-09-2009
Aditya Birla Nuvo Limited,INDRAYON,ABIRLANUVO,07-12-2005
Aditya Birla Real Estate Limited,CENTURYTEX,ABREL,10-10-2024
Ador Welding Limited,ADVANIORLI,ADORWELD,27-09-2004
Adroit Infotech Limited,SPHEREGSL,ADROITINFO,19-04-2018
Adroit Infotech Limited,COLORCHIPS,SPHEREGSL,13-10-2015
Adroit Infotech Limited,ARHAMFISCL,COLORCHIPS,04-04-2006
Advani Hotels & Resorts (India) Limited,RAMADHOTEL,ADVANIHOTR,25-06-2007
Aegis Logistics Limited,AEGISCHEM,AEGISLOG,07-06-2024
Aftek Limited,AFTEKINFO,AFTEK,27-11-2006
Agro Tech Foods Limited,ITCAGRO,ATFL,31-12-2002
Ajmera Realty & Infra India Limited,SHREE,AJMERA,23-06-2009
Akzo Nobel India Limited,ICI,AKZOINDIA,27-05-2010
Alembic Limited,ALMBICHEM,ALEMBICLTD,22-09-1999
Alicon Castalloy Limited,ENKEI,ALICON,04-03-2011
Allcargo Gati Limited,GATI,ACLGATI,30-11-2023
Alldigi Tech Limited,ALLSEC,ALLDIGI,27-09-2024
Amara Raja Energy & Mobility Limited,AMARAJABAT,ARE&M,27-10-2023
Ambuja Cement Rajasthan Limited,DLFCEMENT,AMBUJARAJN,20-08-2001
Ambuja Cements Limited,GUJAMBCEM,AMBUJACEM,24-07-2007
