Unnamed: 0,Symbol,Series,Open,High,Low,Close,PrevClose,TotalTradedQty,TotalTradedValue,TotalTrades,DeliverableQty,DeliveryPercentage,Date
0,1018GS2026,GS,110.0,112.0,110.0,111.1,107.07,1919,2.14,12,1918,99.95,28-Mar-2024
1,20MICRONS,EQ,144.5,148.25,138.7,143.7,143.0,69677,100.96,2068,40553,58.20,28-Mar-2024
2,21STCENMGM,BE,42.3,42.35,40.8,41.6,41.6,17766,7.32,62,-,-,28-Mar-2024
3,360ONE,EQ,667.05,681.0,658.35,675.6,667.95,481500,3227.04,30356,388736,80.73,28-Mar-2024
4,3IINFOLTD,EQ,39.7,41.5,39.3,39.5,39.4,1399387,557.94,5962,857132,61.25,28-Mar-2024
5,3MINDIA,EQ,31475.1,31475.1,31032.05,31193.35,31475.1,6634,2069.85,1453,5149,77.62,28-Mar-2024
6,3PLAND,BE,28.4,28.4,27.0,27.0,28.4,13975,3.8,111,-,-,28-Mar-2024
7,515GS2025,GS,95.8,98.15,95.8,98.15,98.25,5,0.0,2,5,100.00,28-Mar-2024
8,574GS2026,GS,98.65,98.65,98.65,98.65,98.65,301,0.3,6,301,100.00,28-Mar-2024
9,5PAISA,EQ,494.3,519.9,494.3,505.05,490.3,216417,1100.81,15072,70448,32.55,28-Mar-2024
10,618GS2024,GS,100.92,100.92,100.92,100.92,96.48,2,0.0,1,2,100.00,28-Mar-2024
11,63MOONS,EQ,384.4,393.55,380.0,381.6,381.6,130919,505.21,3245,92182,70.41,28-Mar-2024
12,654GS2032,GS,99.0,99.0,99.0,99.0,97.0,2,0.0,2,2,100.00,28-Mar-2024
13,667GS2035,GS,97.11,100.97,97.11,100.97,96.17,2,0.0,2,1,50.00,28-Mar-2024
14,667GS2050,GS,96.5,97.0,95.11,96.72,96.48,116723,112.88,101,109808,94.08,28-Mar-2024
15,669GS2024,GS,101.61,101.61,101.55,101.55,101.44,461,0.47,4,461,100.00,28-Mar-2024
16,676GS2061,GS,95.4,95.45,95.2,95.45,95.27,1113,1.06,5,1113,100.00,28-Mar-2024
17,695GS2061,GS,100.0,100.0,98.5,98.5,98.5,129,0.13,4,129,100.00,28-Mar-2024
18,699GS2026,GS,102.4,102.4,102.36,102.36,102.36,1200,1.23,2,1200,100.00,28-Mar-2024
19,699GS2051,GS,100.5,100.5,100.5,100.5,100.13,1,0.0,1,1,100.00,28-Mar-2024
20,706GS2028,GS,102.5,103.4,102.5,103.39,102.9,19403,19.93,11,19403,100.00,28-Mar-2024
21,710GS2029,GS,103.1,103.29,103.1,103.23,102.95,22403,23.11,15,22403,100.00,28-Mar-2024
22,716GS2050,GS,100.1,101.54,100.0,101.54,99.5,5939,5.96,7,5939,100.00,28-Mar-2024
