,SYMBOL,Name of Company
0,20MICRONS,20 Microns Limited
1,21STCENMGM,21st Century Management Services Limited
2,360ONE,360 ONE WAM LIMITED
3,3IINFOLTD,3i Infotech Limited
4,3MINDIA,3M India Limited
5,3PLAND,3P Land Holdings Limited
6,5PAISA,5Paisa Capital Limited
7,63MOONS,63 moons technologies limited
8,A2ZINFRA,A2Z Infra Engineering Limited
9,AAATECH,AAA Technologies Limited
10,AADHARHFC,Aadhar Housing Finance Limited
11,AAKASH,Aakash Exploration Services Limited
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited
13,AARON,Aaron Industries Limited
14,AARTECH,Aartech Solonics Limited
15,AARTIDRUGS,Aarti Drugs Limited
16,AARTIIND,Aarti Industries Limited
17,AARTIPHARM,Aarti Pharmalabs Limited
18,AARTISURF,Aarti Surfactants Limited
19,AARVEEDEN,Aarvee Denims & Exports Limited
20,AARVI,Aarvi Encon Limited
21,AAVAS,Aavas Financiers Limited
22,ABAN,Aban Offshore Limited
23,ABB,ABB India Limited
24,ABBOTINDIA,Abbott India Limited
25,ABCAPITAL,Aditya Birla Capital Limited
26,ABDL,Allied Blenders and Distillers Limited
27,ABFRL,Aditya Birla Fashion and Retail Limited
28,ABMINTLLTD,ABM International Limited
29,ABSLAMC,Aditya Birla Sun Life AMC Limited
30,ACC,ACC Limited
31,ACCELYA,Accelya Solutions India Limited
32,ACCURACY,Accuracy Shipping Limited
33,ACE,Action Construction Equipment Limited
34,ACEINTEG,Ace Integrated Solutions Limited
35,ACI,Archean Chemical Industries Limited
36,ACL,Andhra Cements Limited
37,ACLGATI,Allcargo Gati Limited
38,ADANIENSOL,Adani Energy Solutions Limited
39,ADANIENT,Adani Enterprises Limited
40,ADANIGREEN,Adani Green Energy Limited
41,ADANIPORTS,Adani Ports and Special Economic Zone Limited
42,ADANIPOWER,Adani Power Limited
43,ADFFOODS,ADF Foods Limited
44,ADL,Archidply Decor Limited
45,ADORWELD,Ador Welding Limited
46,ADROITINFO,Adroit Infotech Limited
47,ADSL,Allied Digital Services Limited
48,ADVANIHOTR,Advani Hotels & Resorts (India) Limited
49,ADVENZYMES,Advanced Enzyme Technologies Limited
50,AEGISLOG,Aegis Logistics Limited
51,AEROFLEX,Aeroflex Industries Limited
52,AETHER,Aether Industries Limited
53,AFFLE,Affle (India) Limited
54,AFIL,Akme Fintrade (India) Limited
55,AGARIND,Agarwal Industrial Corporation Limited
56,AGI,AGI Greenpac Limited
57,AGIIL,Agi Infra Limited
58,AGRITECH,Agri-Tech (India) Limited
59,AGROPHOS,Agro Phos India Limited
60,AGSTRA,AGS Transact Technologies Limited
61,AHL,Abans Holdings Limited
62,AHLADA,Ahlada Engineers Limited
63,AHLEAST,Asian Hotels (East) Limited
64,AHLUCONT,Ahluwalia Contracts (India) Limited
65,AIAENG,AIA Engineering Limited
66,AIIL,Authum Investment & Infrastructure Limited
67,AIRAN,Airan Limited
68,AIROLAM,Airo Lam limited
69,AJANTPHARM,Ajanta Pharma Limited
70,AJMERA,Ajmera Realty & Infra India Limited
71,AJOONI,Ajooni Biotech Limited
72,AKASH,Akash Infra-Projects Limited
73,AKG,Akg Exim Limited
74,AKI,AKI India Limited
75,AKSH-RE,Akshar Spintex Ltd-RE
76,AKSHAR,Akshar Spintex Limited
77,AKSHARCHEM,AksharChem India Limited
78,AKSHOPTFBR,Aksh Optifibre Limited
79,AKUMS,Akums Drugs and Pharmaceuticals Limited
80,AKZOINDIA,Akzo Nobel India Limited
81,ALANKIT,Alankit Limited
82,ALBERTDAVD,Albert David Limited
83,ALEMBICLTD,Alembic Limited
84,ALICON,Alicon Castalloy Limited
85,ALKALI,Alkali Metals Limited
86,ALKEM,Alkem Laboratories Limited
87,ALKYLAMINE,Alkyl Amines Chemicals Limited
88,ALLCARGO,Allcargo Logistics Limited
89,ALLSEC,Allsec Technologies Limited
90,ALMONDZ,Almondz Global Securities Limited
91,ALOKINDS,Alok Industries Limited
92,ALPA,Alpa Laboratories Limited
93,ALPHAGEO,Alphageo (India) Limited
94,ALPSINDUS,Alps Industries Limited
95,AMBER,Amber Enterprises India Limited
96,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited
97,AMBIKCO,Ambika Cotton Mills Limited
98,AMBUJACEM,Ambuja Cements Limited
99,AMDIND,AMD Industries Limited
100,AMIORG,Ami Organics Limited
101,AMJLAND,Amj Land Holdings Limited
102,AMNPLST,Amines & Plasticizers Limited
103,AMRUTANJAN,Amrutanjan Health Care Limited
104,ANANDRATHI,Anand Rathi Wealth Limited
105,ANANTRAJ,Anant Raj Limited
106,ANDHRAPAP,ANDHRA PAPER LIMITED
107,ANDHRSUGAR,The Andhra Sugars Limited
108,ANGELONE,Angel One Limited
109,ANIKINDS,Anik Industries Limited
110,ANMOL,Anmol India Limited
111,ANTGRAPHIC,Antarctica Limited
112,ANUP,The Anup Engineering Limited
113,ANURAS,Anupam Rasayan India Limited
114,APARINDS,Apar Industries Limited
115,APCL,Anjani Portland Cement Limited
116,APCOTEXIND,Apcotex Industries Limited
117,APEX,Apex Frozen Foods Limited
118,APLAPOLLO,APL Apollo Tubes Limited
119,APLLTD,Alembic Pharmaceuticals Limited
120,APOLLO,Apollo Micro Systems Limited
121,APOLLOHOSP,Apollo Hospitals Enterprise Limited
122,APOLLOPIPE,Apollo Pipes Limited
123,APOLLOTYRE,Apollo Tyres Limited
124,APOLSINHOT,Apollo Sindoori Hotels Limited
125,APTECHT,Aptech Limited
126,APTUS,Aptus Value Housing Finance India Limited
127,ARCHIDPLY,Archidply Industries Limited
128,ARCHIES,Archies Limited
129,ARE&M,Amara Raja Energy & Mobility Limited
130,ARENTERP,Rajdarshan Industries Limited
131,ARIES,Aries Agro Limited
132,ARIHANTCAP,Arihant Capital Markets Limited
133,ARIHANTSUP,Arihant Superstructures Limited
134,ARKADE,Arkade Developers Limited
135,ARMANFIN,Arman Financial Services Limited
136,AROGRANITE,Aro Granite Industries Limited
137,ARROWGREEN,Arrow Greentech Limited
138,ARSSINFRA,ARSS Infrastructure Projects Limited
139,ARTEMISMED,Artemis Medicare Services Limited
140,ARTNIRMAN,Art Nirman Limited
141,ARVEE,Arvee Laboratories (India) Limited
142,ARVIND,Arvind Limited
143,ARVINDFASN,Arvind Fashions Limited
144,ARVSMART,Arvind SmartSpaces Limited
145,ASAHIINDIA,Asahi India Glass Limited
146,ASAHISONG,Asahi Songwon Colors Limited
147,ASAL,Automotive Stampings and Assemblies Limited
148,ASALCBR,Associated Alcohols & Breweries Ltd.
149,ASHAPURMIN,Ashapura Minechem Limited
150,ASHIANA,Ashiana Housing Limited
151,ASHIMASYN,Ashima Limited
152,ASHOKA,Ashoka Buildcon Limited
153,ASHOKAMET,Ashoka Metcast Limited
154,ASHOKLEY,Ashok Leyland Limited
155,ASIANENE,Asian Energy Services Limited
156,ASIANHOTNR,Asian Hotels (North) Limited
157,ASIANPAINT,Asian Paints Limited
158,ASIANTILES,Asian Granito India Limited
159,ASKAUTOLTD,ASK Automotive Limited
160,ASMS,Bartronics India Limited
161,ASPINWALL,Aspinwall and Company Limited
162,ASTEC,Astec LifeSciences Limited
163,ASTERDM,Aster DM Healthcare Limited
164,ASTRAL,Astral Limited
165,ASTRAMICRO,Astra Microwave Products Limited
166,ASTRAZEN,AstraZeneca Pharma India Limited
167,ASTRON,Astron Paper & Board Mill Limited
168,ATALREAL,Atal Realtech Limited
169,ATAM,Atam Valves Limited
170,ATFL,Agro Tech Foods Limited
171,ATGL,Adani Total Gas Limited
172,ATL,Allcargo Terminals Limited
173,ATLANTAA,ATLANTAA LIMITED
174,ATUL,Atul Limited
175,ATULAUTO,Atul Auto Limited
176,AUBANK,AU Small Finance Bank Limited
177,AURIONPRO,Aurionpro Solutions Limited
178,AUROPHARMA,Aurobindo Pharma Limited
179,AURUM,Aurum PropTech Limited
180,AUSOMENT,Ausom Enterprise Limited
181,AUTOAXLES,Automotive Axles Limited
182,AUTOIND,Autoline Industries Limited
