Trade_Date,Exchange,Sett Type,Scrip_Name,Order_Type,Qty,Mkt_Price,Mkt Value,Squp/Del,Brok_Amt,Net Amt,Product,Aggregated_Taxes
18-May-22,NSE,N,CENTURY ENKA LTD,B,10,511.5,5115.0,D,50.0,-5180.07,Cash,15.069999999999999
18-May-22,NSE,N,STEEL AUTHORITY OF INDIA,B,100,84.8,8480.0,D,63.6,-8565.14,Cash,21.54
18-May-22,NSE,N,CENTURY ENKA LTD,B,10,506.5,5065.0,D,50.0,-5130.06,Cash,15.059999999999999
19-May-22,NSE,N,STEEL AUTHORITY OF INDIA,B,100,80.8,8080.0,D,60.6,-8161.05,Cash,20.45
19-May-22,NSE,N,CENTURY ENKA LTD,B,15,488.9,7333.5,D,55.0,-7407.1,Cash,18.6
19-May-22,NSE,N,CENTURY ENKA LTD,B,10,485.2,4852.0,D,50.0,-4916.78,Cash,14.78
19-May-22,NSE,N,STEEL AUTHORITY OF INDIA,B,100,79.5,7950.0,D,59.63,-8029.89,Cash,20.259999999999998
23-May-22,NSE,N,STEEL AUTHORITY OF INDIA,B,100,73.9,7390.0,D,55.43,-7464.2,Cash,18.77
24-May-22,NSE,N,CENTURY ENKA LTD,B,10,481.0,4810.0,D,50.0,-4874.71,Cash,14.709999999999999
24-May-22,NSE,N,PENNAR INDUSTRIES LTD,B,100,37.95,3795.0,D,50.0,-3858.52,Cash,13.52
25-May-22,NSE,N,CENTURY ENKA LTD,B,10,458.5,4585.0,D,50.0,-4649.45,Cash,14.45
27-May-22,NSE,N,CENTURY ENKA LTD,B,5,475.5,2377.5,D,50.0,-2439.34,Cash,11.84
27-May-22,NSE,N,PENNAR INDUSTRIES LTD,B,25,37.1,927.5,D,12.5,-943.34,Cash,3.3400000000000003
27-May-22,NSE,N,PENNAR INDUSTRIES LTD,B,34,37.1,1261.4,D,16.99,-1282.94,Cash,4.55
27-May-22,NSE,N,PENNAR INDUSTRIES LTD,B,41,37.15,1523.15,D,20.51,-1549.16,Cash,5.5
27-May-22,NSE,N,CENTURY ENKA LTD,B,5,474.55,2372.75,D,50.0,-2434.59,Cash,11.84
