Trade_Date,Exchange,Scrip_Name,Order_Type,Qty,Mkt_Price,Brok_Amt,Aggregated_Taxes,CustomQty,CumulativeQty
2024-04-03,NSE,ELECTROSTEEL CASTINGS LTD,B,500.0,178.2,689.2468619246862,0.0,500.0,500.0
2024-04-03,NSE,ELECTROSTEEL CASTINGS LTD,S,478.0,183.8,658.92,209.95,-478.0,22.0
2024-04-03,NSE,ELECTROSTEEL CASTINGS LTD,S,22.0,183.8,30.33,9.65,-22.0,0.0
2024-04-09,NSE,JK TYRE & INDUSTRIES LTD,B,78.0,420.55,246.02,83.3,78.0,78.0
2024-04-09,NSE,JK TYRE & INDUSTRIES LTD,B,12.0,420.55,37.85,12.82,12.0,90.0
2024-04-09,NSE,JK TYRE & INDUSTRIES LTD,B,110.0,420.55,346.95,117.49,110.0,200.0
2024-04-10,NSE,SUZLON ENERGY LIMITED,B,200.0,42.25,63.38,21.44,200.0,200.0
2024-05-28,NSE,SUZLON ENERGY LIMITED,S,200.0,44.25,66.38,21.14,-200.0,0.0
2024-06-06,NSE,NMDC STEEL LIMITED,B,150.0,59.15,66.54,22.54,150.0,150.0
2024-06-27,NSE,TEXMACO RAIL & ENG. LTD.,B,500.0,164.8,898.2474226804123,0.0,500.0,500.0
2024-06-27,NSE,TEXMACO RAIL & ENG. LTD.,S,97.0,239.53,174.26,55.50000000000001,-97.0,403.0
2024-06-27,NSE,TEXMACO RAIL & ENG. LTD.,S,31.0,239.53,55.69,17.74,-31.0,372.0
2024-06-27,NSE,TEXMACO RAIL & ENG. LTD.,S,97.0,239.53,174.26,55.50000000000001,-97.0,275.0
2024-06-27,NSE,TEXMACO RAIL & ENG. LTD.,S,31.0,239.53,55.69,17.74,-31.0,244.0
2024-06-27,NSE,TEXMACO RAIL & ENG. LTD.,S,97.0,239.53,174.26,55.50000000000001,-97.0,147.0
2024-06-27,NSE,TEXMACO RAIL & ENG. LTD.,S,31.0,239.53,55.69,17.74,-31.0,116.0
2024-06-27,NSE,TEXMACO RAIL & ENG. LTD.,S,97.0,239.53,174.26,55.50000000000001,-97.0,19.0
2024-06-27,NSE,TEXMACO RAIL & ENG. LTD.,S,19.0,239.53,34.13,10.86,-19.0,0.0
2024-06-28,NSE,JK TYRE & INDUSTRIES LTD,S,11.0,427.2,35.24,11.21,-11.0,189.0
2024-06-28,NSE,JK TYRE & INDUSTRIES LTD,S,50.0,427.2,160.2,51.03,-50.0,139.0
