Stock name,Scrip_Name,ISIN,Order_Type,Qty,Net_Amount,Exchange,Exchange Order Id,Trade_Date,Order status,Mkt_Price,Brokerage_Amt,Taxes,Symbol
NTPC LTD,NTPC,INE733E01010,B,15,4838.25,BSE,1738216522192505405,2025-01-30 11:39:00,Executed,322.55,0.0,0.0,NTPC
VARUN BEVERAGES LIMITED,VBL,INE200M01039,S,125,73250.0,NSE,1300000025610117,2025-02-05 11:15:00,Executed,586.0,0.0,0.0,VBL
BAJAJ AUTO LIMITED,BAJAJAUTO,INE917I01010,S,5,44722.25,NSE,1000000026291993,2025-02-05 11:15:00,Executed,8944.45,0.0,0.0,BAJAJ-AUTO
BHARTI AIRTEL LIMITED,BHARTIARTL,INE397D01024,B,1,1649.95,NSE,1000000026677020,2025-02-05 11:17:00,Executed,1649.95,0.0,0.0,BHARTIARTL
ASTER DM HEALTHCARE LTD.,ASTERDM,INE914M01019,S,100,55158.0,NSE,1000000023685557,2025-05-26 10:51:00,Executed,551.58,0.0,0.0,ASTERDM
BSE LIMITED,BSE,INE118H01025,B,22,54863.6,NSE,1000000023954785,2025-05-26 10:53:00,Executed,2493.8,0.0,0.0,BSE
ASTER DM HEALTHCARE LTD.,ASTERDM,INE914M01019,S,100,54500.0,NSE,1000000027031326,2025-05-28 11:27:00,Executed,545.0,0.0,0.0,ASTERDM
BHARAT ELECTRONICS LTD,BEL,INE263A01024,B,50,19600.0,NSE,1000000027147423,2025-05-28 11:28:00,Executed,392.0,0.0,0.0,BEL
BSE LIMITED,BSE,INE118H01025,B,13,31343.0,NSE,1000000027484010,2025-05-28 11:30:00,Executed,2411.0,0.0,0.0,BSE
TATA POWER CO LTD,TATAPOWER,INE245A01021,S,100,39475.0,NSE,1300000016004581,2025-05-30 10:04:00,Executed,394.75,0.0,0.0,TATAPOWER
MAZAGON DOCK SHIPBUIL LTD,MAZDOCK,INE249Z01020,B,10,35600.0,NSE,1200000016482761,2025-05-30 10:06:00,Executed,3560.0,0.0,0.0,MAZDOCK
BHARAT ELECTRONICS LTD,BEL,INE263A01024,B,5,1934.5,NSE,1000000014495027,2025-05-30 10:07:00,Executed,386.9,0.0,0.0,BEL
NTPC LTD,NTPC,INE733E01010,S,165,55456.5,NSE,1200000017341097,2025-05-30 10:10:00,Executed,336.1,0.0,0.0,NTPC
BHARTI AIRTEL LIMITED,BHARTIARTL,INE397D01024,B,4,7425.2,NSE,1000000015448963,2025-05-30 10:12:00,Executed,1856.3,0.0,0.0,BHARTIARTL
ANGEL ONE LIMITED,ANGELONE,INE732I01013,B,15,45793.5,NSE,1000000016568079,2025-05-30 10:17:00,Executed,3052.9,0.0,0.0,ANGELONE
BHARAT ELECTRONICS LTD,BEL,INE263A01024,B,1,387.7,BSE,1748579980360288146,2025-05-30 10:20:00,Executed,387.7,0.0,0.0,BEL
NIPPONAMC - NETFSILVER,SILVERBEES,INF204KC1402,B,917,99668.73,NSE,1300000017669919,2025-07-21 10:05:00,Executed,108.69,0.0,0.0,SILVERBEES
NIPPONAMC - NETFSILVER,SILVERBEES,INF204KC1402,B,1,108.69,NSE,1300000017823133,2025-07-21 10:06:00,Executed,108.69,0.0,0.0,SILVERBEES
INDIQUBE SPACES LIMITED,INDIQUBE,INE06ST01018,B,63,14931.0,NSE,80828835,2025-07-29 15:30:00,Executed,237.0,0.0,0.0,INDIQUBE
National Securities Depository,NSDL,INE301O01023,B,18,14400.0,NSE,42133944,2025-08-05 15:30:00,Executed,800.0,0.0,0.0,NSDL
National Securities Depository,NSDL,INE301O01023,S,18,16364.7,BSE,1754451000005345337,2025-08-06 10:03:00,Executed,909.15,0.0,0.0,NSDL
INDIQUBE SPACES LIMITED,INDIQUBE,INE06ST01018,S,63,12858.93,NSE,1100000016815917,2025-08-06 10:07:00,Executed,204.11,0.0,0.0,INDIQUBE
HDFCAMC - HDFCSML250,HDFCSML250,INF179KC1FB2,B,11,1860.32,NSE,1100000050296873,2025-09-26 12:22:00,Executed,169.12,0.0,0.0,HDFCSML250
HDFCAMC - HDFCSML250,HDFCSML250,INF179KC1FB2,S,11,1889.47,NSE,1100000006651404,2025-10-07 09:28:00,Executed,171.77,0.0,0.0,HDFCSML250
ETERNAL LIMITED,ETERNAL,INE758T01015,B,100,34030.0,NSE,1100000042865210,2025-10-07 12:13:00,Executed,340.3,0.0,0.0,ETERNAL
ONE 97 COMMUNICATIONS LTD,PAYTM,INE982J01020,B,20,24710.4,NSE,1200000040299275,2025-10-07 12:14:00,Executed,1235.52,0.0,0.0,PAYTM
NIP IND ETF GOLD BEES,GOLDBEES,INF204KB17I5,B,1500,149250.0,NSE,1100000043165665,2025-10-07 12:15:00,Executed,99.5,0.0,0.0,GOLDBEES
MOTILAL OS MIDCAP100 ETF,MOM100,INF247L01023,B,3200,199968.0,BSE,1759818970309553902,2025-10-07 12:20:00,Executed,62.49,0.0,0.0,MOM100
MOTILAL OS MIDCAP100 ETF,MOM100,INF247L01023,B,1850,115625.0,NSE,1200000041860243,2025-10-07 12:23:00,Executed,62.5,0.0,0.0,MOM100
MOTILAL OS MIDCAP100 ETF,MOM100,INF247L01023,B,2380,149273.6,NSE,1200000001887502,2025-10-08 09:17:00,Executed,62.720000000000006,0.0,0.0,MOM100
MOTILAL OS MIDCAP100 ETF,MOM100,INF247L01023,B,1960,121951.2,NSE,1200000069350228,2025-10-08 14:59:00,Executed,62.22,0.0,0.0,MOM100
